comment,label
"Màu cam đất như màu nâu luôn, khá tối ko sáng như hình",NEG
"Đường may xấu, mác bị ngược",NEG
"Shop phục vụ rất kém, cố tình gửi sai hàng cho khách, bán hàng ko tâm đức",NEG
"Shop phục vụ rất kém, đã giao hàng sai cho khách, hứa giao lại, ko thấy giao lại, đành phải hoàn hàng trên shopee, shop ko có thiện chí hợp tác để bên mình sớm nhận đk tiền, nếu ko kiên trì gọi lên shopee và ko biết quy định của shopee thì chắc đành nhận số hàng giao sai rồi",NEG
"Giao ko đúng màu Khăn mỏng ko xứng đáng đồng tiền ,khăn bị lem nàu",NEG
"Yêu cầu giao kính màu xanh thì giao màu hồng nên vất xó, ko dùng được",NEG
Mình có 56kg mà mặc ko vừa,NEG
"Áo hơi ngắn , mình 1m60 mặc bị ngắn",NEG
Giày hơi dơ,NEG
Nhựa bình sữa rất hôi,NEG
"Bán hàng thì k tư vấn hỏi khách mặc size gì, ship bừa ship đại",NEG
"Áo mỏng nhìn thấy được bên trong, chữ bị nhoè",NEG
"Shop giao nhầm hàng đặt 1 đường giao 1 nẻo , nhắn tin còn không trả lời,",NEG
"Viết lên bảng quá mờ, không như mong đợi",NEG
"Bỉm cứng và mùi hôi, không giống bỉm mua ở đại lý",NEG
"Sản phẩm lỗi nặng, shop k kiểm tra trước khi gửi hàng",NEG
Rất không đáng tiền Rất không đáng tiền,NEG
Mình đặt màu da sao giao màu trắng cho mình z,NEG
Áo size to nhat ma mac chat qua,NEG
Mỗi tội gia hàng hơi lâu 😶,NEG
Tuy nhiên vải hơi nóng,NEG
Màu ko đc giống ảnh😔,NEG
Áo chất hơi cứng,NEG
Mới lấy mà dây đeo đã đứt,NEG
Rõ ràng ghi là chất liệu kaki nhưng hàng lại là chất vải mềm,NEG
chất lượng kém Shop phục vụ rất kém,NEG
Trời vừa mở nút là thế này rồi..,NEG
Sọc áo màu xám k phải màu xanh nên trông cũ,NEG
Chất liệu so với giá tiền tạm ổn,NEG
Chất lượng sản phẩm rất kém quá kém,NEG
"Hình ảnh rõ ràng nhưng 1 số tấm chữ bị lem màu và Giấy hơi mỏng, bé nắm và ngậm vào miệng 1 tí là rách nát (bé chưa có răng)",NEG
Áo hơi rộng chút,NEG
Chỉ thích hợp với ai có ngực khủng,NEG
"Nhưng size nam nữ to bằng nhau, rộng k mặc đk",NEG
Dày dặn nhưng giặt bị phai nha,NEG
Shop làm việc thiếu trách nhiệm,NEG
hang wa dỡ,NEG
Chai đầy ú ụ,NEG
San phẩm không giong với Hinh,NEG
Tay mình gầy nên mặc hơi sấu,NEG
"Mua 3 giao nhầm 2, trừ điểm shop",NEG
"Chất lượng sản phẩm kém,giao sp lỗi,mình chấp nhận ko đổi trả nhưng chắc mình ko bao h dám mua sp của Shop nữa",NEG
Mặc bị xù,NEG
Mặc đc 4 lần và k bh mặc lại nữa,NEG
Thẳng đuột,NEG
Hang mong qua bao 60kg do lai mac vua may minh 54kg mac con hoi chat thé ms 55kg mac sao vua,NEG
chat luog k tot nk,NEG
"Không đúng quần Thái Lan wacoal như giới thiệu sp. hàng việt nam, tuy nhiên mẫu mã, bao bì đẹp",NEG
2 lai áo may không đều,NEG
Quá thất vọng,NEG
Áo rộng hơn hình nhiều,NEG
Tai nghe hơi nhỏ( hình thức chứ kg phải âm thanh)mọi người suy nghĩ kỹ trước khi mua.âm thanh tốt cực êm tai,NEG
Áo 250 ngàn mà may như áo chợ vậy,NEG
Quần bị ra màu,NEG
áo hơi nhỏ,NEG
Giao nhầm hàng,NEG
Hàng ko đẹp chất liệu thất vọng quá,NEG
"Sản phẩm không có tag, không có mác",NEG
"Chất lượng sản phẩm rất kém,đúng tiền nào của lấy,cái quần như mảnh vải nhau.bảo sao k cho ngta đổi",NEG
Gối hơi nhỏ,NEG
Mới nhận về sạc ko lên cứ 1 vạch nản mình bộ đội ko ra ngoài đc,NEG
Có vẻ như màu ko giống hình cho lắm hình thì màu trắng còn hàng thì màu kem....chắc do ánh sáng và góc chụp....hơi tiếc 1 chút...nhưng vải thì otê^^,NEG
"Đặt đỏ đô thì giao hồng choé, đặt dài tay thì giao cộc tay",NEG
Vải quá mỏng,NEG
Áo sz M mà bé tí trẻ con mặc vừa😂đổi sz thì shop bảo giao hàng r trong khi đó thông báo của shoppe là vẫn đang chuẩn bị hàng,NEG
Chất lượng sản phẩm rất kém: không nên mua sản phẩm này,NEG
Chất lượng sp kém. hàng gửi về chưa gì đã rác,NEG
😌,NEG
hình ảnh k đk sắc nét lắm,NEG
Chất thì được như có một cái bị rách,NEG
Ống quần bên to bên nhỏ size s và l bằng nhau,NEG
Chất thích mà size hơi nhỏ so với size bthg,NEG
Lần sau xin đóng gối cẩm thận hơn..,NEG
Áo lưới chất hơi xấu,NEG
Nhưng áo vừa mặc thử đã bật cúc,NEG
Đường chỉ cũng ko chắc chắn,NEG
Vậy mà k mặc dc luôn,NEG
Áo màu không giống hình 😑 bất lực vs shop,NEG
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sp kém chất lượng,NEG
Làn trước hài lòng còn lần này quá thất vọng,NEG
Bạn nào cao tầm 1m55 - 1m60 phải nặng từ 65kg - 70kg may ra mặc thành quần gen,NEG
Vãi rất mỏng,NEG
Hơi thất vọng..,NEG
- Mình thấy khô gà hơi dở..,NEG
Ko mặc dược,NEG
Tuy nhiên mình mua 2 cái thì cái size L ở tay áo bị viết số màu xanh lên chỗ tay áo mình giặt ko ra,NEG
Shop tự lấy kéo cắt nên áo quá ngắn,NEG
Mac hoi rong,NEG
"Bỉm mỏng, thấm hút ko tốt lắm",NEG
Chất lượng sản phẩm rất kém Bé tý ko giống như trong anh Rất không đáng tiền,NEG
Shop giao thiếu hàng,NEG
"Nt shop tl chậm, đổi giày k cho đổi",NEG
Dây hơi cứng,NEG
Có điều gói hơi chắc quá,NEG
Nt shop onl nhưng k rep,NEG
Shop phục vụ rất kém Rất không đáng tiền Rất không đáng tiền Thời gian giao hàng rất chậm,NEG
Huhu,NEG
Mình đánh giá 1 sao vì trước khi gửi hàng shop không kiểm tra sản phẩm :>,NEG
Đã vậy rồi shipper giao đơn hàng nhầm nữa chứ,NEG
Mình mua trơn mà giao sọc,NEG
"đóng gói sp cẩn thận, hàng ok... nhưng giao hàng quá lâu mặc dù trả phí ship khá cao!!",NEG
Quá thất vọng khi shop giao hàng lỗi,NEG
bỉm cg đc nhưng có mùi ngủi rât kho chiu,NEG
Hơi thất vọng,NEG
"Áo trắng ok, áo đen sờ thấy vải khác, xấu hơn hẳn",NEG
Đặt đen trăng kẻ thì giao đen trắng hồng,NEG
Mặc k Đc ôm dáng,NEG
From xấu vải cx xấu,NEG
Áo thì như hình nhg chất lượng thì kém Rất không đáng tiền,NEG
Hơi buồn,NEG
Chưa từng mua 1 s.p nào trên shoper mà 5 6 ngày mới nhận được hàg,NEG
Còn 2 áo croptop và polo thì giống hình ok,NEG
Shop làm ăn quá tệ .,NEG
Con thua ao 30k,NEG
Hình ảnh của shop và hàng mình nhận khác hoắc,NEG
cái quần nó nhỏ quá. người lớn mặc ko vừa,NEG
"Thời gian shop chuẩn bị hàng rất lâu, áo len mỏng, chất lượng không giống hình",NEG
Mỏng lắm,NEG
áo mốc bẩn không hài lòng 👎 Chất lượng sản phẩm kém Chất lượng sản phẩm kém,NEG
"Áo không đẹp, khác màu trong hình",NEG
"quần mặc rộng hơn mình nghĩ, ko ôm lắm, khi mặc bị cuộn, thừa",NEG
"K the dung chieu power point, qua mo",NEG
Bên dài bên ngắn,NEG
Túi mùi rất thối phơi nắng 2 ngày rồi vẫn ko hết mùi đẹp thì đẹp nhưng vẫn ki đeo đc,NEG
Áo bị rách 😓,NEG
Mình rất ít khi đánh 1 sao nhưng lầ này thật sự quá thất vọng,NEG
"Lớp trong ngắn đến ngực, khi mặc lên bị lộ rõ viền lớp trong, viền tim bị lệch, k cân xứng",NEG
Thay vào đó là mác đã cài kim băng,NEG
Chất lượng vải ko tốt lắm,NEG
Giao hàng hơi lâu hàng như 2hand,NEG
Mui hắc khó ngui,NEG
Mua 5c ma k co cái nào goi là thun gân,NEG
Hàng ko giống hình,NEG
Nói xong r im 3 ngày luôn. 1* ko oan uổng nhé bạn,NEG
"Áo dễ thương màu chuẩn, thun mỏng mát, nhưng sẽ dễ đổ lông",NEG
Sản phẩm k như ý muốn,NEG
Shop làm mình thất vọng khi mua online,NEG
Vui lòng cải thiện dịch vụ giao hàng KHÔNG GIAO VÀO GIỜ NGHỈ,NEG
"Tiếc là 2c trước dây chun trắng, nhưg bù lại 2c sau dây chun đen",NEG
Đôi Puma xấu quá nhưng đôi trắng cx đc,NEG
Vải tạm dc nhưng bị lũng lỗ và dơ nữa :((,NEG
Đã vậy chất liệu màu đỏ khác với 2 cái màu đen nữa,NEG
Hàng lỗi,NEG
K y ảnh,NEG
Có 1 bộ bị rách shop khắc phục lỗi này nhé,NEG
Nhưng đóng gói vận chuyển cực kì kém,NEG
Đặt 2 đen giao 2 màu tào lao,NEG
có giống hình nhưng vải rất mỏng không đúng như trong hình . giá tiền tương đương với sản phẩm,NEG
Shop lấy sai màu cho mình dù đã ghi chú chọn màu đen,NEG
Màu áo xấu vô cùng,NEG
Ko đẹp như mình tưởng tượng,NEG
"Ít khi mình đánh giá sao thấp các shop lắm lun, nhưng mà lần này thật ko ưng",NEG
Dáng áo thì đc,NEG
Shop làm ăn quá tệ,NEG
Màu cũng ko như hình luôn,NEG
"Áo bị lem bẩn làm sao giặt sạch đc hả shop, giặt đc đỡ p trả hàng",NEG
Hàng quá tệ quần bị rách ko bao giờ tin dc shop này ko hiểu kiểm tra hàng trc khi giao cho khách cái kiểu gì,NEG
Nên nhìn cặp hơi thô,NEG
Chất lượng quá tồi,NEG
Cách cư xử của nhân viên vs khách hàng quá tệ,NEG
Size nhỏ xíu,NEG
Đường may giữa hai màu không thẳng lệch mất khoảng 1.5cm,NEG
Hy vọng bền,NEG
Tôi chọn mài khác tại sao lại hai mài giống nhau,NEG
Vải dom áo ko giống trong hjnh giả tạo xấu xí,NEG
Đường may xấu,NEG
Ko thoải mái lắm,NEG
Màu kem bị dính màu.Chưa giặt mà đã ra màu cỡ đó rồi,NEG
Mua lần 2 nhưng đặt 1 cái shop gửi 1 cái khác,NEG
K hài lòng về cách mô tả sp của shop dẫn đến việc nhận đc sp k dùng đc,NEG
Đặt màu vàng thì ra màu gì v shop??,NEG
"Đặt 6c size xxl thì lại giao 5c size xl, 1c size xxxl",NEG
Thiếu đồ của khách k xử lí,NEG
Gửi sản phẩm k đúng chất liệu.4 cái chỉ có 1 cái đúng.làm ăn k thành thật,NEG
"Váy k giản,ng mình bé vậy mà vai k vừa,chật k thở đc,khó khăn lắm mới kéo váy xuống đc.chắc người nào 40kg mới vừa.k hiểu sao mọi người mua rồi khen ghê vậy",NEG
Sz L mà vẫn ngắn thế nhỉ 😂😂,NEG
Chất lượng sản phẩm rất kém Shop phục vụ khá tốt,NEG
Màu lợt hơn hình,NEG
Lai quần dễ bị giản,NEG
Thực ra là hàng China gia rẻ,NEG
Size nhầm lẫn có thể sửa nhưng vải mỏng dánh ko dám bận ra đường chỉ có nước bỏ đi thôi,NEG
Buồn shop giao hàng k cẩn thận gì cat,NEG
Mua 3 kiểu khác nhau cùng sai nhưng có sai to hơn và nhỏ hơn nên k mặc được,NEG
áo j mak to hơn em là sao ak áo này lỗi hay sao ý áo này cho người lớn mặc mak nhưng thôi có bts là dc Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời,NEG
Ghê vch,NEG
"nhưng bị rách , vải này chắc giặt sẽ bị giản , hình in trên áo không giống hình mẫu mặc cho lắm ( màu )",NEG
Áo xấu hơn trong hình nhiều,NEG
Đặt 2 sao giao có 1 z shop,NEG
Bực mình ah,NEG
Nt shop k thèm tl,NEG
Chất thì ko đẹp lắm,NEG
Đóng gói sản phẩm chắc chắn. nhưng không rõ trong quá trình vận chuyển hay sao mà thỏi son bị gãy,NEG
Mùi nước xả vải ko dc thơm,NEG
Áo K giống hình,NEG
Sản phẩm kém nên xem kĩ trước khi mua,NEG
Shop giao hàng áo bị lỗi nhưng nhắn tin hỏi đổi thì k thấy trả lời,NEG
Hạn dùng tới 25/11 chứ k phải 1/12 như trong bài,NEG
áo nhỏ,NEG
Sp k giống như hình,NEG
Không giống trong hình,NEG
ko đáng tiền mua😏😏,NEG
Hàng không giống hình:(((,NEG
Chất lượng sản phẩm kém Bị rách ở lưng.,NEG
Dạng bọt dùng cũng khá tốn...dùng ko thích,NEG
Có lẽ tôi sẽ ko mua trên shoppe nữa,NEG
"Moi người ảnh tôi đưa lên nè ,mặc có 1 lần chưa kịp giật thun dệt trên ren đứt hết trơn ,chắc đem quăng sọt rác chứ có giặt cũng ko mặc được nữa ,mấy cộng chỉ rơi ra là thun đứt đứt đó mm. shop này lừa đảo",NEG
Tháo hơi lâu,NEG
"Mặc đẹp nhưng mút k cố định, bị lệch và nhăn",NEG
Shop giao sai màu Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém Shop phục vụ rất kém Shop phục vụ rất kém Rất không đáng tiền Rất không đáng tiền,NEG
Ko dám mặc luon,NEG
Áo đẹp nhưng tay áo bị lỗi,NEG
Rất ko đáng tiền Chất lượng sản phẩm kém,NEG
Bộ chặt,NEG
giầy thì to để vô cái hộp nhỏ mà ko ngại nhồi nhét bóp móp đôi giầy đến nỗi miếng xốp giữ dáng giầy ở trong còn vỡ,NEG
Áo fom nhỏ,NEG
Nói chung là áo ko đẹp như quảng cáo,NEG
"Mình hiểu việc có 1, 2 hạt hỏng cũng khó tránh nhưng ntn thì nhiều quá, tuy nhiên điều làm mình khó chịu nhất đó là khi mình phản ảnh shop ko xin lỗi đc 1 câu, ko thèm trả lời tin nhắn luôn",NEG
Nghe hợp lý ghê nhỉ,NEG
Hàng kém chất lượng,NEG
Tất cả đồ mình mua đều rộng thùng thình quá cỡ,NEG
"Huhu, bắt đền shop nha, gửi cho tui cái nút để gắn vào",NEG
Thật sự không hài lòng về vấn đề thời gian giao hàng,NEG
đóng gói chưa dc ok giao về đến nơi bị móp may ko vỡ kính,NEG
"Chất lượng sản phẩm tạm được Giặt phai màu, lem",NEG
Áo bị lỗi.. rách.,NEG
Chất lượng vải kh đc đẹp đường chỉ dễ bung ở đáy quần,NEG
Làm ăn k ra gì,NEG
Bo do day nay nho wa so voi so ky ghi tren,NEG
From ao thi dep ma chat lieu ni long ko giong trog hih hoi that vog,NEG
Shop hứa lèo hết lần này đến lần khác,NEG
Vải bình thường,NEG
Quá tệ k đáng sao nào hết,NEG
Không tốt chất liệu sấu,NEG
"Shop phục vụ kém, Thời gian giao hàng chậm,",NEG
Đặt 2L shop lại giao 1L 1M,NEG
Vải quá mỏng Không đáng tiền,NEG
Giày bị ố vàng,NEG
Áo lỗi,NEG
Không đúng sz đặt sz L gửi sz S bé tẹo mặc kiểu gì,NEG
"Chất vải xấu bai nhão, giao hàng chậm",NEG
Đầu k xoay đc...khớp rất cứng...đứng hay bị nghiêng và ngã...sơn bị lem...nhựa dẻo nói chung không tốt...k đáng với giá 320k...chân không dang đc rộng như trong hình,NEG
Áo mỏng quá,NEG
sãn phẩm “ rất rất kém” nhé!,NEG
"Chất vải hơi mỏng, màu đỏ hơi tối so với trên ảnh",NEG
Mở ra hộp rách seal móp méo,NEG
trông nhỏ quá,NEG
Thời gian giao hàng tạm được áo bị rách,NEG
Xấu thật,NEG
"Đặt mua 2 bộ , shop chọn khéo quá cả 2 bộ 2 cái quần đều rách túi ạ",NEG
shop gửi thiếu đồ nhắn tin thì không nhận được phản hồi,NEG
Đóng gói sản phẩm ko cẩn thận,NEG
Shop nên thận trọng ktra hàng kĩ trc khi giao cho Kh,NEG
Shop hẹn lần hẹn lượt rồi ko qua lấy,NEG
"Mình đặt dài đỏ, đen ngắn nhưng giao lộn thàng đen dài ngắn đỏ",NEG
Nhưng mà hơi ngắn,NEG
Phần zip trên túi k chắc chắn,NEG
Đặt 1 trắng 1 nâu đến lúc giao thành 2 nâu,NEG
"Hơi thất vọng về sản phẩm vì không phải hàng của xiaomi như hình quảng cáo, mình có xem review trước tren youtube rồi nên mới đặt mua",NEG
Sản phẩm kém,NEG
"Đèn cũng hỏng ,pin thì thiết kế ngược",NEG
Chất liệu với áo k giống như trong ảnh,NEG
Lở rồi biết sao :(,NEG
Giá và chất lượng phù hợp nhưng giao k đúng size,NEG
Mình mua mấy bộ đều bị bé hơn so với dây cáp sạc và dây tai nghe,NEG
Tuy nhiên bạn nào tầm 1m6 thì sẽ ok hơn mình 1m62 mặc hơi cộc (size xl),NEG
Nhiều đg may còn lỗi,NEG
Áo rộng thùng thình thô,NEG
"Áo hơi ngắn so với mình, đo chiều dài tầm 2,5 gang tay",NEG
Áo chật quá ko mặc đc,NEG
Giao lâu,NEG
"Vừa mỏng vừa thô ráp, mặc thử rất dặm, ko biết giặt đi có đỡ ko",NEG
Màu sắc sản phẩm ko như trong sản phẩm,NEG
Shop phục vụ rất kém,NEG
Cổ rộng,NEG
K đc full bóx Chất lượng sản phẩm tốt Thời gian giao hàng nhanh đóng gói sản phầm còn móp méo,NEG
Son không có vỏ,NEG
Nhưng chất liệu k như bên shop đã chú thích....😑,NEG
"Chất vải nóng, vắt chỉ ẩu",NEG
"Cái này mặc ko vừa, mình gửi lại và shop sẽ gửi lại cho mình cái khác",NEG
Đã note rất rõ ràng là đen đỏ hoặc rằn ri mà vẫn không giao đúng hàng,NEG
Không giao áo mà giao đại 1 cái váy gì đâu kh,NEG
Chất lượng sản phẩm kém,NEG
Chất lượng sản phẩm rất kém vải chứ không phải len mặc chân váy bị xoè vải mỏng,NEG
Hơi thất vọng chút xíu,NEG
Không biết người giao hàng làm gì mà hộp méo mọ luôn,NEG
màu xanh là phun giặt ra nước toàn màu xanh,NEG
Giao thiếu nhiều hàng,NEG
màu không giống hình,NEG
Giày gửi k mang đc Tệ,NEG
Sp tốt so vs giá thành,NEG
Túi thơm gì thế này,NEG
màu này là màu hồng à,NEG
Tuy nhiên chất liệu có hơi mỏng 1 xíu,NEG
Vải qá mỏng.mặc mà díh vào ng luôn á,NEG
Đc 3c áo mỏng dính,NEG
Dùng tolovit 6 cạnh cơ mà hiếm đành dùng loại 2 cạnh vặn sợ trờn vãi..,NEG
Đóng gói quá sơ sài luôn như kiểu bị bóc hàng rồi ấy,NEG
Thời gian giao hàng chậm,NEG
Gjao ko đúng mau,NEG
Mua phí tiền Chất lượng sản phẩm rất kém,NEG
Mất niêm tin,NEG
Lần sau cạch shop này,NEG
Vải mỏng giống thun mỏng hơn là len,NEG
Nói là tẩy quần áo màu mà tẩy xong loang lổ vứt luôn cả váy,NEG
Hỏi shop muốn đổi xuống sz nhỏ hơn thì shop tl 1 cách hời hợt cho qua,NEG
Vải kh đẹp so với giá,NEG
Hang khong giong y hinh khong dang tien,NEG
Ko giống trong hình giấy deo quá tệ ko đẹp kém,NEG
Ko đc sao nào hết,NEG
"con đầu rất ưng nhưng con gửi sau cho mình vỏ nát be nát bét nha bác, chú ý khâu đóng gói cho mình",NEG
Vải thì ok nhưng Em đặt đen nhưng shop giao đỏ,NEG
Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém giống vs những cái còn lại,NEG
Chất lượng tệ,NEG
Lỡ rồi để mặc ngủ tạm vậy :-/,NEG
Haizz,NEG
Chất lượng sản phẩm tạm được xấu quá,NEG
Giao k đúng màu.,NEG
Form xấu,NEG
Nhắn thì ko trả lời ??,NEG
"Chất lượng sản phẩm rất kém, Áo thân bên to nhỏ, ko đều, nẹp Áo may nhăn nhúm, vải rất xấu, mua 3bộ chỉ 1bộ tạm ổn với giá tiền!!",NEG
đặt 2c và thanh toán tiền 2c nhưng khi mở ra thì có 1c,NEG
Mình đặt đợt gần lễ nên thời gian giao hàng hơi lâu,NEG
"Cạp trên bị lệch, đường nay bên trong không đẹp",NEG
Nhưng con mình mua phía trên đầu may không kỹ,NEG
Tất đẹp nhưng thái độ của Ship quá chán,NEG
Tay cầm hơi lỏng,NEG
Vải xấu quắc,NEG
Đặt 4 món mới giao 3 món,NEG
Làm ăn phải uy tín chứ gửi cho xong chuyện vậy sao,NEG
Lên màu ko đẹp.mau trôi,NEG
Hàng quá xấu so với sức tưởng tượng... về k giám mặc chỉ cất góc tủ,NEG
Hơi rộng,NEG
Màu áo k giống trên ảnh .,NEG
Quần ống to ống nhỏ và cao thấp..,NEG
"Áo hơi chật màu giao không đẹp, không giống hình đăng đã chọn",NEG
Ko đúng trong hình,NEG
Tay dài ra ngắn,NEG
Vải hơi mỏng xí,NEG
Ko thể nào chấp nhận đk,NEG
Đế giầy không được mềm cho lắm,NEG
Hàng hơi mỏng ạ,NEG
Shop phục vụ rất kém hết hàng nhưng không báo lại đến khi hỏi thì bảo là hoàn lại tiền nhưng chỉ nói cho có tiền không thấy đâu 4 chục bạc mất cả uy tín áo thì rộng thênh thang cái nào cũng thế ctrai mặc thì vừa hơn mk mặc,NEG
"Hơi thất vọng về chất, k đẹp như màu đỏ đô hay vàng gạch",NEG
Nút tắt k ăn,NEG
Đặt XL dặn kỷ rồi vẫn giao size L,NEG
Hơi rộng,NEG
Sản phẩm bé so với miêu tả (canon 700d+sig17-50 k vừa cho 2 sao),NEG
Đặt màu đen thì giao màu trắng :),NEG
LỪA ĐẢO =)),NEG
"Áo phom nhỏ, Size 34 tương đương như Size 36",NEG
Hàng xấu,NEG
To hơn tưởng tượng,NEG
Đóng gói sản phẩm rất đẹp và chắc chắnThời gian giao hàng rất nhanh,NEG
Áo size to quá không mặc được,NEG
"Mới giặt mới mặc 1lần mak mak đã bug dãn len, đứt máy sợi thun từa lưa r",NEG
Thật tồi tệ,NEG
Chất vải hơi nóng,NEG
Áo mới mà dính mực.nói chung Tiền nào của đó Chất lượng sản phẩm tạm được,NEG
"Không phải dáng ôm sát body, Size S vẫn khá rộng với mình, dù mh cao 1,6m + 46kg",NEG
Thất vọng,NEG
"Áo sờ cũng hơi cứng, ko đc mềm mịn cho lắm",NEG
"Sản phẩm kém chất lượng, k phải vải voan, mỏng, sờ chất nóng",NEG
Lúc yêu cầu trả hàng thì nói ngang nói ngược,NEG
"Áo ko giống hình, bé",NEG
Áo giống hình nhưng vì quả quá lớn mặc lên k ôm được ngực nên nhìn rất xấu,NEG
Với giá tiền thì kg mỏng như mình nghĩ,NEG
"Như nt chậm, k tương tác tốt",NEG
Chất váy mặc hơi nóng,NEG
"Được cái in đẹp, kg bong tróc",NEG
"form đẹp, nhưng vải bị ra màu",NEG
Chất lượng sản phẩm tốt nhưng không có sạc đi kèm rất bất tiện,NEG
Nhìn như giây bỏ đi vây,NEG
"Mình 1m6 55kg mua size M vẫn thấy to, do phần vai rộng nên các bạn nữ mặc nhìn hơi thô",NEG
May bị dính vạt dưới,NEG
Giầy k có nơ như hình,NEG
Vải quá dởm,NEG
K giog hinh,NEG
Side Nam không chuẩn nhỏ hơn,NEG
"Chất lượng rất bình thường, không hài lòng về sp Chất lượng sản phẩm kém",NEG
Vải tốt nhưng Form áo xấu,NEG
"Nên thôi mình k cần nữa , cũng k đáng nhiu mà shop làm mình k hài lòng",NEG
Ghi rõ là áo size 36 nhưng giao size 34 bé bằng lỗ mũi,NEG
Hàng bị lỗi,NEG
K đúng màu,NEG
"Giầy đẹp, giao nhầm size yêu cầu đổi size",NEG
"Chất lượng sản phẩm rất kém, mùi hắc ko chịu nổi còn sữa tắm thì lỏng lè",NEG
Shop chú ý kiểm tra kỹ hơn,NEG
Mùi hắc qa shop a,NEG
Shop phải test trc khi giao hàng chứ,NEG
Giao thiếu hàng mà cứ lươn lẹo không giải quyết cho khách hàng,NEG
"Chất lượng sản phẩm cực kì kém, áo bé hơn nhiều so với mô tả, mặc vào vừa cộc vừa chật, sai hoàn toàn dáng áo, thời gian chuẩn bị hàng lâu hơn nhiều so với các shop khác, làm ăn gì như lừa đảo, nói chung mất tiền ngu, lần sau không bao giờ quay lại",NEG
Màu k giống ảnh gửi,NEG
Cùng set nhưng cái to cái nhỏ nên trừ 1*,NEG
Chất lượng sản phẩm kém,NEG
